1	1	84	45	2	93	27	79	65	11	74	8	94	84	41	37	25	79	84	97	92	97	89	1	60	17	47	38	78	89	1	62	51	41	8	74	58	99	86	64	67	79	84	39	57	81	48	37	57	89	85	19	59	97	90	30	11	38	99	95	32	47	22	74	5	63	42	87	55	39	88	67	35	9	83	62	26	58	51	23	60	1	35	96	72	29	26	40	22	55	18	49	33	25	97	17	72	50	77	7	88	53	
2	2	44	39	7	12	6	15	9	2	73	83	24	40	84	38	16	8	73	89	64	58	29	63	32	9	12	12	68	47	58	66	94	69	72	75	40	43	48	45	85	56	64	76	13	92	46	8	46	56	67	76	12	86	71	100	70	35	33	86	37	81	10	77	90	62	75	99	7	62	87	94	51	45	57	38	12	9	39	94	48	44	45	41	8	53	53	56	10	77	46	73	89	51	21	36	20	17	95	59	82	68	
3	3	42	66	62	89	37	17	37	55	60	6	15	20	54	50	69	75	81	98	28	52	91	99	12	93	56	11	47	91	75	11	78	60	80	37	9	75	79	83	72	79	20	68	77	66	52	67	4	98	8	42	23	84	7	85	49	55	72	13	36	18	55	60	100	67	15	9	70	1	64	98	49	42	65	6	58	41	74	42	42	35	82	6	58	52	16	72	100	41	70	43	99	88	68	67	52	83	49	46	71	87	
4	4	85	22	80	93	84	38	98	10	52	43	64	1	8	31	28	80	67	89	35	57	54	68	50	87	61	25	37	36	62	94	84	65	39	34	34	37	97	98	14	93	43	8	25	42	96	7	65	54	29	35	7	51	100	27	24	75	11	79	99	3	67	37	15	70	76	1	45	57	82	8	22	85	51	72	55	59	40	13	37	9	3	96	13	68	25	66	41	70	29	15	42	10	73	83	36	59	75	47	85	39	
5	5	15	15	57	3	38	4	7	98	100	20	97	40	11	42	37	94	63	86	87	74	22	52	17	71	67	17	41	25	31	3	59	80	10	65	96	50	78	38	51	5	78	42	50	85	85	18	76	61	14	62	16	3	47	16	69	42	83	84	86	87	86	64	77	71	49	12	67	36	85	72	6	37	91	75	49	25	93	28	84	99	96	13	52	50	71	8	21	36	39	22	91	31	29	23	20	18	56	59	8	77	
6	6	48	48	60	65	18	8	31	23	16	36	64	23	39	9	78	13	41	93	3	96	38	8	43	5	38	35	28	2	88	93	63	67	46	25	13	27	76	50	68	66	19	59	96	16	92	68	93	73	65	49	82	70	60	32	60	75	66	20	73	6	92	30	96	41	58	45	37	70	57	54	8	92	78	88	8	56	86	14	21	9	34	72	57	44	26	91	1	75	32	20	40	13	94	91	26	59	55	37	6	71	
7	7	31	40	13	71	48	78	10	93	33	97	41	62	87	5	57	1	39	24	87	35	26	4	16	10	63	48	43	83	81	60	88	63	57	47	6	57	28	57	71	58	31	11	4	3	72	81	92	48	3	63	31	58	72	85	70	62	15	72	82	81	22	84	9	15	31	25	51	28	95	39	38	75	39	58	58	13	47	50	10	73	10	75	7	96	81	25	2	63	63	37	4	81	10	19	4	5	72	24	42	17	
8	8	15	33	55	61	89	1	37	90	14	43	73	71	15	31	4	78	25	89	1	82	30	59	30	50	53	15	48	4	35	73	16	68	62	18	9	34	38	19	65	37	50	58	64	59	48	84	31	37	28	24	58	62	60	60	5	14	76	67	43	65	25	97	89	3	54	26	91	28	65	96	78	100	51	8	77	17	69	29	31	71	75	27	96	5	29	20	43	93	88	15	56	18	78	53	9	48	57	4	33	87	
9	9	11	24	70	10	39	39	36	38	70	57	38	41	29	62	80	83	9	100	42	45	86	87	44	62	93	71	35	61	84	100	45	83	87	71	19	53	25	20	80	49	55	1	20	19	54	67	96	23	82	1	70	7	46	33	35	34	86	11	70	14	6	98	91	95	90	13	2	57	1	80	71	60	72	56	1	84	37	31	24	31	21	30	51	53	45	74	49	36	56	19	73	91	12	1	55	11	96	81	40	48	
10	10	66	87	5	88	31	87	79	84	39	1	10	52	19	53	42	13	85	22	41	23	40	43	6	62	66	25	85	49	75	64	48	91	17	77	83	93	65	25	62	65	16	52	66	48	66	19	45	100	58	24	90	89	17	13	52	42	2	14	27	54	84	62	73	77	19	6	67	85	77	25	97	100	69	83	29	63	37	32	27	89	75	14	47	70	59	96	83	39	46	33	94	15	24	46	52	49	35	68	12	29	
